GeoBg2010,_NAME_,_LABEL_,births_age_group_1,agegroup_1,agegroup_2,agegroup_3,agegroup_4
"DC Tract 1, block group 4",Births_total,Total births,19,6,1,62,13
"DC Tract 1, block group 4",Births_total,Total births,19,3,2,53,5
"DC Tract 1, block group 4",Births_total,Total births,19,0,8,26,17
"DC Tract 1, block group 4",Births_total,Total births,19,2,0,40,5
"DC Tract 1, block group 4",Births_total,Total births,19,2,3,31,6
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,2,0,7,5
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,12,1
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,6,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,4,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,2,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,6,0
"DC Tract 1, block group 4",Births_total,Total births,19,5,1,33,8
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,3,4,85,21
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,1,4,2
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,15,15
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,1,0,25,7
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 1, block group 4",Births_total,Total births,19,0,0,0,0
"DC Tract 2.01, block group 1",,,,0,0,10,15
"DC Tract 2.01, block group 1",,,,0,9,2881,25
"DC Tract 2.01, block group 1",,,,0,0,0,0
"DC Tract 2.02, block group 1",Births_total,Total births,9,0,0,0,0
"DC Tract 2.02, block group 1",Births_total,Total births,9,4,14,126,8
"DC Tract 2.02, block group 1",Births_total,Total births,9,6,0,14,13
"DC Tract 2.02, block group 1",Births_total,Total births,9,7,5,37,8
"DC Tract 2.02, block group 1",Births_total,Total births,9,2,6,70,11
"DC Tract 2.02, block group 1",Births_total,Total births,9,0,2,55,16
"DC Tract 2.02, block group 1",Births_total,Total births,9,8,10,71,21
"DC Tract 2.02, block group 1",Births_total,Total births,9,6,0,16,2
"DC Tract 2.02, block group 1",Births_total,Total births,9,4,13,65,24
"DC Tract 2.02, block group 1",Births_total,Total births,9,3,5,56,17
"DC Tract 2.02, block group 1",Births_total,Total births,9,5,22,92,39
"DC Tract 2.02, block group 1",Births_total,Total births,9,9,12,127,50
"DC Tract 2.02, block group 2",Births_total,Total births,13,4,7,74,5
"DC Tract 2.02, block group 2",Births_total,Total births,13,2,0,21,4
"DC Tract 2.02, block group 2",Births_total,Total births,13,1,3,46,9
"DC Tract 2.02, block group 2",Births_total,Total births,13,7,8,43,17
"DC Tract 2.02, block group 2",Births_total,Total births,13,9,6,79,15
"DC Tract 2.02, block group 2",Births_total,Total births,13,5,8,74,20
"DC Tract 2.02, block group 2",Births_total,Total births,13,5,2,68,7
"DC Tract 2.02, block group 2",Births_total,Total births,13,5,11,69,18
"DC Tract 2.02, block group 2",Births_total,Total births,13,3,5,70,19
"DC Tract 2.02, block group 3",Births_total,Total births,6,2,1,71,1
"DC Tract 2.02, block group 3",Births_total,Total births,6,2,1,29,11
"DC Tract 2.02, block group 3",Births_total,Total births,6,2,1,54,14
"DC Tract 2.02, block group 3",Births_total,Total births,6,3,5,87,11
"DC Tract 2.02, block group 3",Births_total,Total births,6,3,1,94,4
"DC Tract 2.02, block group 3",Births_total,Total births,6,3,6,61,13
"DC Tract 2.02, block group 3",Births_total,Total births,6,2,6,43,12
"DC Tract 2.02, block group 3",Births_total,Total births,6,1,3,71,13
"DC Tract 2.02, block group 3",Births_total,Total births,6,0,0,4,2
"DC Tract 2.02, block group 3",Births_total,Total births,6,1,1,20,0
"DC Tract 2.02, block group 3",Births_total,Total births,6,0,2,47,0
"DC Tract 2.02, block group 3",Births_total,Total births,6,1,3,95,4
"DC Tract 2.02, block group 3",Births_total,Total births,6,0,0,104,2
"DC Tract 2.02, block group 3",Births_total,Total births,6,0,1,29,7
"DC Tract 2.02, block group 4",Births_total,Total births,12,2,6,139,9
"DC Tract 2.02, block group 4",Births_total,Total births,12,1,0,72,2
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,307,1
"DC Tract 2.02, block group 4",Births_total,Total births,12,1,0,78,5
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,1,605,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,84,2
"DC Tract 2.02, block group 4",Births_total,Total births,12,3,3,26,13
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,4,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,4,0,109,33
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,1,19,1
"DC Tract 2.02, block group 4",Births_total,Total births,12,1,1,91,10
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,64,2
"DC Tract 2.02, block group 4",Births_total,Total births,12,1,1,40,9
"DC Tract 2.02, block group 4",Births_total,Total births,12,2,1,65,5
"DC Tract 2.02, block group 4",Births_total,Total births,12,1,0,11,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,5,1,59,2
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,17,1
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 2.02, block group 4",Births_total,Total births,12,0,0,0,0
"DC Tract 3, block group 1",Births_total,Total births,23,8,17,206,22
"DC Tract 3, block group 1",Births_total,Total births,23,9,6,103,14
"DC Tract 3, block group 1",Births_total,Total births,23,3,5,48,4
"DC Tract 3, block group 1",Births_total,Total births,23,10,5,111,9
"DC Tract 3, block group 1",Births_total,Total births,23,7,0,61,12
"DC Tract 3, block group 1",Births_total,Total births,23,1,3,71,7
"DC Tract 3, block group 1",Births_total,Total births,23,15,7,110,12
"DC Tract 3, block group 1",Births_total,Total births,23,2,1,106,6
"DC Tract 3, block group 1",Births_total,Total births,23,2,0,95,12
"DC Tract 3, block group 1",Births_total,Total births,23,9,4,66,13
"DC Tract 3, block group 1",Births_total,Total births,23,0,0,0,0
"DC Tract 3, block group 1",Births_total,Total births,23,0,0,0,0
"DC Tract 3, block group 1",Births_total,Total births,23,1,0,18,1
"DC Tract 3, block group 2",Births_total,Total births,20,5,3,122,9
"DC Tract 3, block group 2",Births_total,Total births,20,4,3,161,5
"DC Tract 3, block group 2",Births_total,Total births,20,1,2,65,0
"DC Tract 3, block group 2",Births_total,Total births,20,2,1,89,11
"DC Tract 3, block group 2",Births_total,Total births,20,12,14,470,18
"DC Tract 3, block group 2",Births_total,Total births,20,1,0,110,2
"DC Tract 3, block group 2",Births_total,Total births,20,9,9,112,6
"DC Tract 3, block group 3",Births_total,Total births,24,21,12,194,15
"DC Tract 3, block group 3",Births_total,Total births,24,4,2,120,14
"DC Tract 3, block group 3",Births_total,Total births,24,1,11,22,4
"DC Tract 3, block group 3",Births_total,Total births,24,38,27,286,44
"DC Tract 3, block group 3",Births_total,Total births,24,0,8,29,8
"DC Tract 3, block group 3",Births_total,Total births,24,5,14,48,6
"DC Tract 3, block group 3",Births_total,Total births,24,8,27,128,53
"DC Tract 3, block group 3",Births_total,Total births,24,0,1,17,6
"DC Tract 3, block group 3",Births_total,Total births,24,0,0,0,0
"DC Tract 3, block group 3",Births_total,Total births,24,0,0,0,0
"DC Tract 3, block group 3",Births_total,Total births,24,8,2,80,4
"DC Tract 3, block group 3",Births_total,Total births,24,2,5,105,5
"DC Tract 3, block group 3",Births_total,Total births,24,1,0,91,5
"DC Tract 3, block group 3",Births_total,Total births,24,6,2,90,7
"DC Tract 3, block group 4",Births_total,Total births,19,5,13,102,9
"DC Tract 3, block group 4",Births_total,Total births,19,20,11,156,12
"DC Tract 3, block group 4",Births_total,Total births,19,6,13,137,8
"DC Tract 3, block group 4",Births_total,Total births,19,6,11,79,6
"DC Tract 3, block group 4",Births_total,Total births,19,6,3,62,4
"DC Tract 3, block group 4",Births_total,Total births,19,9,15,117,18
"DC Tract 3, block group 4",Births_total,Total births,19,15,5,105,3
"DC Tract 3, block group 4",Births_total,Total births,19,13,10,95,5
"DC Tract 3, block group 4",Births_total,Total births,19,11,7,83,12
"DC Tract 3, block group 4",Births_total,Total births,19,12,7,89,12
"DC Tract 3, block group 4",Births_total,Total births,19,6,6,105,6
"DC Tract 3, block group 4",Births_total,Total births,19,1,0,6,1
"DC Tract 4, block group 1",Births_total,Total births,3,0,0,3,0
"DC Tract 4, block group 1",Births_total,Total births,3,0,0,0,0
"DC Tract 4, block group 1",Births_total,Total births,3,0,0,0,0
"DC Tract 4, block group 1",Births_total,Total births,3,2,1,11,7
"DC Tract 4, block group 1",Births_total,Total births,3,0,2,19,10
"DC Tract 4, block group 1",Births_total,Total births,3,0,0,0,0
"DC Tract 4, block group 1",Births_total,Total births,3,1,15,28,5
"DC Tract 4, block group 1",Births_total,Total births,3,1,8,21,6
"DC Tract 4, block group 1",Births_total,Total births,3,0,8,16,10
"DC Tract 4, block group 1",Births_total,Total births,3,0,0,1,0
"DC Tract 4, block group 1",Births_total,Total births,3,0,0,0,0
"DC Tract 4, block group 1",Births_total,Total births,3,0,1,10,2
"DC Tract 4, block group 1",Births_total,Total births,3,2,5,24,6
"DC Tract 4, block group 1",Births_total,Total births,3,5,13,27,9
"DC Tract 4, block group 1",Births_total,Total births,3,1,3,28,10
"DC Tract 4, block group 1",Births_total,Total births,3,2,8,27,5
"DC Tract 4, block group 1",Births_total,Total births,3,4,3,18,7
"DC Tract 4, block group 1",Births_total,Total births,3,3,6,19,12
"DC Tract 4, block group 1",Births_total,Total births,3,1,5,5,2
"DC Tract 4, block group 1",Births_total,Total births,3,0,7,16,7
"DC Tract 4, block group 1",Births_total,Total births,3,4,6,64,14
"DC Tract 4, block group 1",Births_total,Total births,3,0,0,19,9
"DC Tract 4, block group 1",Births_total,Total births,3,0,0,0,0
"DC Tract 4, block group 2",,,,0,5,8,2
"DC Tract 4, block group 2",,,,0,8,20,8
"DC Tract 4, block group 2",,,,0,1,16,0
"DC Tract 4, block group 2",,,,2,1,11,3
"DC Tract 4, block group 2",,,,0,9,22,14
"DC Tract 4, block group 2",,,,3,5,20,3
"DC Tract 4, block group 2",,,,1,3,23,9
"DC Tract 4, block group 2",,,,1,5,17,6
"DC Tract 4, block group 2",,,,4,12,19,5
"DC Tract 4, block group 2",,,,0,0,5,0
"DC Tract 4, block group 2",,,,0,0,2,0
"DC Tract 4, block group 2",,,,2,2,3,4
"DC Tract 4, block group 2",,,,0,0,5,3
"DC Tract 4, block group 2",,,,0,0,0,0
"DC Tract 4, block group 2",,,,0,0,0,0
"DC Tract 4, block group 2",,,,0,0,0,0
"DC Tract 4, block group 2",,,,2,0,4,3
"DC Tract 4, block group 2",,,,0,0,0,0
"DC Tract 4, block group 2",,,,0,0,0,0
"DC Tract 4, block group 2",,,,0,0,2,1
"DC Tract 4, block group 2",,,,0,0,0,0
"DC Tract 4, block group 2",,,,0,0,2,3
"DC Tract 4, block group 2",,,,0,0,0,0
"DC Tract 4, block group 2",,,,0,8,7,3
"DC Tract 4, block group 2",,,,0,0,0,0
"DC Tract 4, block group 2",,,,0,4,19,6
"DC Tract 4, block group 2",,,,2,10,21,24
"DC Tract 4, block group 2",,,,0,0,0,0
"DC Tract 4, block group 2",,,,0,0,0,0
"DC Tract 4, block group 2",,,,4,4,199,33
"DC Tract 4, block group 2",,,,0,0,0,0
"DC Tract 5.01, block group 1",Births_total,Total births,11,0,0,0,0
"DC Tract 5.01, block group 1",Births_total,Total births,11,0,0,0,0
"DC Tract 5.01, block group 1",Births_total,Total births,11,0,0,0,0
"DC Tract 5.01, block group 1",Births_total,Total births,11,0,0,0,0
"DC Tract 5.01, block group 1",Births_total,Total births,11,1,1,2,0
"DC Tract 5.01, block group 1",Births_total,Total births,11,10,3,241,28
"DC Tract 5.01, block group 1",Births_total,Total births,11,2,0,350,6
"DC Tract 5.01, block group 1",Births_total,Total births,11,14,5,142,20
"DC Tract 5.01, block group 1",Births_total,Total births,11,0,0,0,0
"DC Tract 5.01, block group 1",Births_total,Total births,11,0,0,0,0
"DC Tract 5.01, block group 1",Births_total,Total births,11,0,0,0,0
"DC Tract 5.01, block group 1",Births_total,Total births,11,4,0,77,10
"DC Tract 5.01, block group 1",Births_total,Total births,11,17,9,484,33
"DC Tract 5.01, block group 1",Births_total,Total births,11,0,0,0,0
"DC Tract 5.01, block group 1",Births_total,Total births,11,0,0,0,0
"DC Tract 5.01, block group 2",Births_total,Total births,28,31,27,1172,85
"DC Tract 5.01, block group 2",Births_total,Total births,28,0,0,16,61
"DC Tract 5.01, block group 2",Births_total,Total births,28,0,0,0,0
"DC Tract 5.01, block group 2",Births_total,Total births,28,0,0,2,0
"DC Tract 5.01, block group 2",Births_total,Total births,28,0,0,0,0
"DC Tract 5.01, block group 2",Births_total,Total births,28,0,0,0,0
"DC Tract 5.02, block group 1",Births_total,Total births,19,9,10,237,23
"DC Tract 5.02, block group 1",Births_total,Total births,19,9,24,217,12
"DC Tract 5.02, block group 1",Births_total,Total births,19,9,31,108,25
"DC Tract 5.02, block group 1",Births_total,Total births,19,5,24,81,25
"DC Tract 5.02, block group 1",Births_total,Total births,19,0,0,0,0
"DC Tract 5.02, block group 1",Births_total,Total births,19,3,5,18,7
"DC Tract 5.02, block group 1",Births_total,Total births,19,6,14,69,18
"DC Tract 5.02, block group 1",Births_total,Total births,19,1,11,33,24
"DC Tract 5.02, block group 1",Births_total,Total births,19,14,21,92,27
"DC Tract 5.02, block group 1",Births_total,Total births,19,0,0,3,2
"DC Tract 5.02, block group 1",Births_total,Total births,19,2,3,9,8
"DC Tract 5.02, block group 1",Births_total,Total births,19,14,7,197,18
"DC Tract 5.02, block group 1",Births_total,Total births,19,3,1,7,2
"DC Tract 5.02, block group 1",Births_total,Total births,19,1,4,30,11
"DC Tract 5.02, block group 1",Births_total,Total births,19,5,13,27,6
"DC Tract 5.02, block group 2",Births_total,Total births,8,3,4,134,60
"DC Tract 5.02, block group 2",Births_total,Total births,8,2,0,140,9
"DC Tract 5.02, block group 2",Births_total,Total births,8,7,14,81,21
"DC Tract 5.02, block group 2",Births_total,Total births,8,5,12,35,3
"DC Tract 5.02, block group 2",Births_total,Total births,8,0,0,0,0
"DC Tract 5.02, block group 2",Births_total,Total births,8,5,2,41,8
"DC Tract 5.02, block group 2",Births_total,Total births,8,10,7,484,48
"DC Tract 6, block group 1",Births_total,Total births,13,10,3,178,90
"DC Tract 6, block group 1",Births_total,Total births,13,12,7,159,12
"DC Tract 6, block group 1",Births_total,Total births,13,0,0,0,0
"DC Tract 6, block group 1",Births_total,Total births,13,23,29,301,46
"DC Tract 6, block group 1",Births_total,Total births,13,0,10,38,8
"DC Tract 6, block group 1",Births_total,Total births,13,8,8,32,9
"DC Tract 6, block group 2",Births_total,Total births,9,9,8,126,12
"DC Tract 6, block group 2",Births_total,Total births,9,2,4,99,7
"DC Tract 6, block group 2",Births_total,Total births,9,7,23,94,40
"DC Tract 6, block group 2",Births_total,Total births,9,0,19,21,9
"DC Tract 6, block group 2",Births_total,Total births,9,7,4,16,4
"DC Tract 6, block group 2",Births_total,Total births,9,7,16,89,40
"DC Tract 6, block group 2",Births_total,Total births,9,5,7,46,24
"DC Tract 6, block group 2",Births_total,Total births,9,7,16,135,18
"DC Tract 6, block group 2",Births_total,Total births,9,0,0,0,0
"DC Tract 6, block group 2",Births_total,Total births,9,0,10,28,10
"DC Tract 6, block group 3",Births_total,Total births,2,0,8,30,6
"DC Tract 6, block group 3",Births_total,Total births,2,1,13,31,8
"DC Tract 6, block group 3",Births_total,Total births,2,3,6,63,18
"DC Tract 6, block group 3",Births_total,Total births,2,4,6,94,9
"DC Tract 6, block group 3",Births_total,Total births,2,0,9,19,16
"DC Tract 6, block group 3",Births_total,Total births,2,5,8,36,11
"DC Tract 6, block group 3",Births_total,Total births,2,0,11,26,16
"DC Tract 6, block group 3",Births_total,Total births,2,0,9,18,9
"DC Tract 6, block group 3",Births_total,Total births,2,0,0,0,0
"DC Tract 6, block group 4",Births_total,Total births,15,2,35,66,24
"DC Tract 6, block group 4",Births_total,Total births,15,5,10,45,13
"DC Tract 6, block group 4",Births_total,Total births,15,0,0,7,72
"DC Tract 6, block group 4",Births_total,Total births,15,1,6,76,16
"DC Tract 6, block group 4",Births_total,Total births,15,1,8,23,4
"DC Tract 6, block group 4",Births_total,Total births,15,6,10,53,6
"DC Tract 6, block group 4",Births_total,Total births,15,4,4,42,13
"DC Tract 6, block group 4",Births_total,Total births,15,2,3,17,4
"DC Tract 6, block group 4",Births_total,Total births,15,3,8,37,3
"DC Tract 6, block group 4",Births_total,Total births,15,12,15,53,11
"DC Tract 6, block group 4",Births_total,Total births,15,3,16,48,6
"DC Tract 6, block group 4",Births_total,Total births,15,8,8,51,16
"DC Tract 6, block group 4",Births_total,Total births,15,9,25,173,21
"DC Tract 6, block group 4",Births_total,Total births,15,0,0,0,0
"DC Tract 6, block group 4",Births_total,Total births,15,1,11,27,17
"DC Tract 6, block group 4",Births_total,Total births,15,4,16,29,11
"DC Tract 6, block group 4",Births_total,Total births,15,1,5,20,7
"DC Tract 6, block group 4",Births_total,Total births,15,6,3,36,20
"DC Tract 6, block group 4",Births_total,Total births,15,0,0,0,0
"DC Tract 6, block group 4",Births_total,Total births,15,0,4,9,4
"DC Tract 6, block group 4",Births_total,Total births,15,0,0,0,0
"DC Tract 6, block group 4",Births_total,Total births,15,2,4,85,7
"DC Tract 7.01, block group 1",Births_total,Total births,14,5,10,276,21
"DC Tract 7.01, block group 1",Births_total,Total births,14,2,13,53,8
"DC Tract 7.01, block group 1",Births_total,Total births,14,0,3,16,0
"DC Tract 7.01, block group 1",Births_total,Total births,14,2,8,24,11
"DC Tract 7.01, block group 1",Births_total,Total births,14,9,4,270,40
"DC Tract 7.01, block group 1",Births_total,Total births,14,8,13,166,17
"DC Tract 7.01, block group 1",Births_total,Total births,14,2,5,38,15
"DC Tract 7.01, block group 1",Births_total,Total births,14,2,1,162,3
"DC Tract 7.01, block group 2",Births_total,Total births,21,4,5,206,92
"DC Tract 7.01, block group 2",Births_total,Total births,21,2,2,187,27
"DC Tract 7.01, block group 3",Births_total,Total births,6,12,7,273,359
"DC Tract 7.01, block group 3",Births_total,Total births,6,1,5,49,81
"DC Tract 7.01, block group 3",Births_total,Total births,6,1,5,112,190
"DC Tract 7.01, block group 3",Births_total,Total births,6,3,4,47,10
"DC Tract 7.01, block group 4",Births_total,Total births,9,0,0,0,0
"DC Tract 7.01, block group 4",Births_total,Total births,9,3,4,37,19
"DC Tract 7.01, block group 4",Births_total,Total births,9,4,8,41,6
"DC Tract 7.01, block group 4",Births_total,Total births,9,14,18,249,26
"DC Tract 7.01, block group 4",Births_total,Total births,9,5,12,234,44
"DC Tract 7.01, block group 4",Births_total,Total births,9,3,12,35,6
"DC Tract 7.01, block group 4",Births_total,Total births,9,7,5,42,10
"DC Tract 7.01, block group 4",Births_total,Total births,9,3,17,38,10
"DC Tract 7.01, block group 4",Births_total,Total births,9,5,2,20,5
"DC Tract 7.01, block group 4",Births_total,Total births,9,2,0,7,4
"DC Tract 7.02, block group 1",Births_total,Total births,25,15,4,343,77
"DC Tract 7.02, block group 1",Births_total,Total births,25,0,0,0,0
"DC Tract 7.02, block group 1",Births_total,Total births,25,0,3,145,4
"DC Tract 7.02, block group 1",Births_total,Total births,25,10,2,254,10
"DC Tract 7.02, block group 1",Births_total,Total births,25,0,0,0,0
"DC Tract 7.02, block group 1",Births_total,Total births,25,8,2,191,20
"DC Tract 7.02, block group 1",Births_total,Total births,25,0,0,0,0
"DC Tract 7.02, block group 1",Births_total,Total births,25,0,0,0,0
"DC Tract 7.02, block group 2",Births_total,Total births,11,14,8,667,75
"DC Tract 7.02, block group 3",Births_total,Total births,10,4,0,45,3
"DC Tract 7.02, block group 3",Births_total,Total births,10,11,13,527,46
"DC Tract 7.02, block group 3",Births_total,Total births,10,8,7,222,13
"DC Tract 8.01, block group 1",Births_total,Total births,19,54,67,1347,429
"DC Tract 8.01, block group 1",Births_total,Total births,19,17,14,144,67
"DC Tract 8.01, block group 2",Births_total,Total births,9,5,12,24,7
"DC Tract 8.01, block group 2",Births_total,Total births,9,0,6,9,9
"DC Tract 8.01, block group 2",Births_total,Total births,9,0,6,14,10
"DC Tract 8.01, block group 2",Births_total,Total births,9,5,16,40,15
"DC Tract 8.01, block group 2",Births_total,Total births,9,0,0,0,0
"DC Tract 8.01, block group 2",Births_total,Total births,9,3,10,14,4
"DC Tract 8.01, block group 2",Births_total,Total births,9,0,0,0,0
"DC Tract 8.01, block group 2",Births_total,Total births,9,4,2,23,7
"DC Tract 8.01, block group 2",Births_total,Total births,9,13,50,165,60
"DC Tract 8.01, block group 2",Births_total,Total births,9,3,4,14,5
"DC Tract 8.01, block group 2",Births_total,Total births,9,3,4,6,6
"DC Tract 8.01, block group 2",Births_total,Total births,9,3,7,34,28
"DC Tract 8.01, block group 2",Births_total,Total births,9,0,0,19,15
"DC Tract 8.01, block group 2",Births_total,Total births,9,0,0,11,3
"DC Tract 8.01, block group 2",Births_total,Total births,9,4,0,16,5
"DC Tract 8.01, block group 2",Births_total,Total births,9,13,24,62,19
"DC Tract 8.01, block group 3",Births_total,Total births,17,5,16,83,42
"DC Tract 8.01, block group 3",Births_total,Total births,17,11,12,153,163
"DC Tract 8.01, block group 3",Births_total,Total births,17,0,0,1,2
"DC Tract 8.01, block group 3",Births_total,Total births,17,0,0,0,0
"DC Tract 8.01, block group 3",Births_total,Total births,17,2,3,17,5
"DC Tract 8.01, block group 3",Births_total,Total births,17,0,0,3,0
"DC Tract 8.01, block group 3",Births_total,Total births,17,0,0,0,0
"DC Tract 8.01, block group 3",Births_total,Total births,17,1,1,7,4
"DC Tract 8.01, block group 3",Births_total,Total births,17,7,24,42,9
"DC Tract 8.01, block group 3",Births_total,Total births,17,3,7,44,12
"DC Tract 8.01, block group 3",Births_total,Total births,17,7,17,38,10
"DC Tract 8.01, block group 3",Births_total,Total births,17,5,20,36,8
"DC Tract 8.01, block group 3",Births_total,Total births,17,3,7,19,5
"DC Tract 8.01, block group 3",Births_total,Total births,17,1,5,14,10
